lat,lng,name,location,mday,total,bikes,parks
25.01551,121.53374,MRT Gongguan Sta.(Exit.3),MRT Gongguan Sta.(Exit.3)(West),2024-06-23 08:51:20,99,35,62
25.04196,121.53653,NTUT(EE),"No. 100, Sec. 3, Zhongxiao E. Rd. (Opposite)",2024-06-23 08:43:20,16,11,4
25.04176,121.54027,"Ln. 217, Sec. 3, Zhongxiao E. Rd.","No. 229-1, Sec. 3, Zhongxiao E. Rd.",2024-06-06 15:05:16,34,0,34
25.01744,121.53334,"Ln. 94, Sec. 3, Xinsheng S. Rd. Intersection","No. 94, Sec. 3, Xinsheng S. Rd.",2024-06-23 08:49:20,15,8,7
25.02267,121.53410,Xinhai Rd. & Xinsheng S. Rd. Intersection,"Sec. 1, Xinhai Rd. & Sec. 3, Xinsheng S. Rd. Intersection (Northwest)",2024-06-23 08:50:25,12,12,0
25.03479,121.54376,MRT Da’an Sta. (Exit 6),"No. 303, Sec. 1, Fuxing S. Rd.",2024-06-23 08:49:20,19,10,9
25.01783,121.55224,"Ln. 195, Wolong St.","Wolong St. / Ln. 195, Wolong St. Intersection (South)",2024-06-23 08:48:20,14,5,9
25.01727,121.54904,"Ln. 157, Sec. 3, Xinhai Rd.","Sec. 3, Xinhai Rd. & Ln. 157, Sec. 3, Xinhai Rd. Intersection (Northwest)",2024-06-23 08:41:19,19,16,3
25.02039,121.54853,Wolong St. & Xinyi Rd. Intersection,"Wolong St. & Sec. 2, Xinyi Rd. Intersection (Northeast)",2024-06-23 08:49:20,16,10,6
25.02347,121.54108,Dunchin Park,"No. 8-1, Ln. 96, Sec. 2, Heping E. Rd.",2024-06-23 08:51:20,26,18,7
25.02054,121.54561,Taipei Daan Sports Center,"No. 55, Sec. 3, Xinhai Rd.",2024-06-23 08:45:22,33,26,7
25.02444,121.54908,Heping Rd. & Dunhua Rd. Intersection,"Sec. 3, Heping E. Rd. & Sec. 2, Dunhua S. Rd. Intersection (East)",2024-06-23 08:47:20,36,6,30
25.01705,121.54435,Keelung Rd. & Changxing St. Intersection,Keelung Rd. & Changxing St. Intersection (Southeast),2024-06-23 08:51:20,43,35,8
25.03762,121.55009,"Ln. 122, Sec. 4, Ren'ai Rd.","No. 188, Sec. 4, Ren'ai Rd.",2024-06-23 08:47:20,16,8,8
25.04464,121.54944,Civic Blvd. & Dunhua Rd. Intersection,"No. 111, Sec. 1, Dunhua S. Rd.",2024-06-23 07:29:13,15,0,15
25.04172,121.54541,"Ln. 49, Sec. 4, Zhongxiao E. Rd.","No. 55, Sec. 4, Zhongxiao E. Rd.",2024-06-23 08:47:20,15,3,12
25.04472,121.54401,Civic Blvd. & Fuxing Rd. Intersection (Southeast),"Sec. 4, Civic Blvd. & Sec. 1, Fuxing S. Rd. Intersection (Southeast)",2024-06-23 08:50:25,16,1,15
25.02598,121.53454,Heping Rd. & Xinsheng S. Rd. Intersection (Southwest),"No. 2, Sec. 3, Xinsheng S. Rd.",2024-06-23 08:46:20,13,6,7
25.02535,121.55101,Quanan Park,"No. 16, Ln. 227, Sec. 2, Anhe Rd. (Opposite)",2024-06-23 08:43:20,16,7,9
25.03333,121.53968,"Ln. 134, Sec. 3, Xinyi Rd.","Sec. 3, Xinyi Rd. & Ln. 134, Sec. 3, Xinyi Rd. Intersection",2024-06-23 08:49:20,19,6,13
25.03715,121.54936,Renai Dunnan Traffic Cir (Southeast),"No. 110, Sec. 4, Ren'ai Rd.",2024-06-23 08:46:20,16,5,11
25.02709,121.54902,Chenggong Public House,"No. 201, Sec. 2, Dunhua S. Rd.",2024-06-23 08:49:20,33,16,17
25.03710,121.54839,Institute of Diplomacy and International Affairs,"No. 280, Sec. 1, Dunhua S. Rd.",2024-06-23 08:15:15,17,0,17
25.02821,121.54864,"Ln. 170, Siwei Rd.","No. 92, Sec. 2, Dunhua S. Rd. (Opposite)",2024-06-23 08:41:20,22,16,6
25.03328,121.54250,MRT Da’an Sta. (Exit 3),"No. 184, Sec. 3, Xinyi Rd.",2024-06-23 08:51:20,46,41,5
25.02055,121.52855,MRT Taipower Building Sta. (Exit 2)_1,"No. 201, Sec. 3, Roosevelt Rd.",2024-06-23 08:49:20,38,18,20
25.03459,121.55164,"Ln. 199, Sec. 4, Xinyi Rd.","Ln. 199, Sec. 4, Xinyi Rd. & Ln. 90, Sec. 1, Anhe Rd. Intersection",2024-06-23 08:46:19,15,3,12
25.02101,121.54153,NTU Information Building,"Sec. 2, Xinhai Rd.(NTU Language Center)",2024-06-23 08:48:20,40,8,32
25.03002,121.54893,"Ln. 81, Sec. 2, Dunhua S. Rd.","Sec. 2, Dunhua S. Rd. & Ln. 81, Sec. 2, Dunhua S. Rd. Intersection (Northwest)",2024-06-23 08:44:20,40,16,24
25.03054,121.52466,Former Taipei Prison Office,"No. 78, Jinhua St. (Opposite)",2024-06-23 08:49:20,23,3,20
25.04205,121.55657,MRT S.Y.S Memorial Hall Sta. (Exit 1),"No. 26, Ln. 200, Guangfu S. Rd. (East)",2024-06-23 08:47:20,25,23,2
25.04010,121.54122,Huai Sheng Junior High School,"No. 30, Ln. 248, Sec. 3, Zhongxiao E. Rd.",2024-06-23 08:47:20,15,13,2
25.03827,121.54802,Renai Dunnan Traffic Cir (Northwest),"No. 85, Sec. 4, Ren'ai Rd",2024-06-23 08:43:20,20,9,11
25.02974,121.55146,Lih Jen International Private Elementary and Middle School,"Sec. 2, Anhe Rd. & Ln. 81, Sec. 2, Dunhua S. Rd. Intersection (Southwest)",2024-06-23 08:49:20,17,11,6
25.02268,121.53608,"Ln. 18, Sec. 2, Heping E. Rd.","No. 43, Sec. 2, Xinhai Rd.",2024-06-23 08:50:31,24,13,11
25.03303,121.54372,MRT Da’an Sta. (Exit 5),"Sec. 2, Fuxing S. Rd. & Sec. 4, Xinyi Rd. Intersection (Southeast)",2024-06-23 08:50:31,26,26,0
25.02832,121.55592,Linjiang Park,"No. 33, Ln. 143, Tonghua St. (Opposite)",2024-06-23 08:50:31,23,9,14
25.01027,121.53998,"Aly. 19, Ln. 113, Sec. 4, Roosevelt Rd.","No. 84, Ln. 119, Sec. 4, Roosevelt Rd. (Opposite)",2024-06-23 08:12:20,14,9,5
25.04132,121.55393,"Ln. 248, Sec. 4, Zhongxiao E. Rd.","No. 230, Sec. 4, Zhongxiao E. Rd.",2024-06-23 08:47:19,15,2,13
